# id	kind	status	description
# kind is false-positive or false-negative; status is open or closed.
FP-029	false-negative	open	A plain subtype of a scalar type from a with'd, externally defined package (e.g. "subtype T_Int16 is Interfaces.Integer_16;") makes Libadalang's own property implementation raise Property_Error ("dereferencing a null access") whenever ordinary semantic analysis needs that subtype's privacy/type, silently suppressing the checks that depend on the result. Confirmed via symbolic backtraces (temporary GNAT.Traceback.Symbolic instrumentation) from two structurally unrelated call sites, both bottoming out in the identical Libadalang chain inside vendored libadalang-implementation.adb: Subtype_Decl_P_Get_Type -> Base_Subtype_Decl_P_From_Type_Bound -> Base_Subtype_Decl_P_Is_Private -> Base_Type_Decl_P_Next_Part -> Raise_Property_Exception. The first site is Subprogram_Summaries.Register_Body's Body.P_Decl_Part, resolving a subprogram body's separately declared spec to build its interprocedural effect summary; when it fails, no summary is registered for that subprogram, so callers lose its May_Read/May_Write/May_Block/May_Raise effects for every check that consults summaries. The second is SPARK_Readiness.Check_Discriminant_Access's ordinary name resolution on an unrelated Dotted_Name, which is silently skipped for that node. This is an upstream Libadalang defect, not an AdaLang Analyzer logic error, and there is no fix available on this side of the boundary; both call sites already contain the failure correctly via their existing "when others" handler (skip and log via Log_Verbose_Once, keep going) rather than aborting the run, but the net effect is a real, currently open coverage gap. Originally observed in AdaCore/Certyflie, crazyflie_support/src/types.ads ("subtype T_Int32 is Interfaces.Integer_32;" and three siblings among its T_IntNN/T_UintNN block); reduced to a minimal single-file case. Covered by external_subtype_signature_match_robustness.adb and a CLI-robustness check in run_cli_robustness.sh confirming the run still completes and reports its unrelated, genuine Unused_Parameter finding rather than aborting. Re-investigated with an eye toward a local fix, with two further findings. First, Register_Body's own fallback (use Subprogram itself as the key declaration when P_Decl_Part fails) was unreachable for exactly this failure, because a Property_Error raised while elaborating a declare block's own declarative part is not handled by that block's own handlers (RM 11.2); it escaped past the intended narrow handler to Register_Body's coarser outer one, discarding the whole summary instead of falling back. Fixed by assigning Decl_Part in the executable part instead (a genuine, narrow correctness improvement, kept independently of this issue), but it does not close the gap: the fallback path (Declaration_Name on the body, which must itself mangle Foo's parameter types into a unique name) requires the identical broken property and fails the same way one step later, confirming no cheap workaround exists on this side. Second, the failure's true trigger has now been isolated and is fully deterministic (an earlier note here, since corrected, mistook inconsistent PATH exports across separate manual test invocations for genuine Libadalang non-determinism): both Libadalang.Auto_Provider (used for -P and project-less runs alike) and its Libadalang.Unit_Files.Default_Provider fallback resolve with'd units, including Interfaces, purely through GNATCOLL.Projects, which shells out to "gnatls -v" to locate the default runtime's predefined source path; -P only contributes source-file discovery via GPR2 and does not feed the project's own runtime into this lookup. Without a "gnatls" on PATH, the lookup finds nothing, Interfaces is entirely unresolved, and the property chain above dereferences null every time instead of degrading gracefully; with a real GNAT toolchain on PATH, the same binary against the same input never fails (confirmed 20/20 clean vs. 20/20 failing in controlled, single-shell-invocation batches). Since there is still no way to make the affected checks succeed without a real GNAT toolchain present, Adalang_Analyzer now warns at startup (Adalang_Analyzer_CLI, gated on Locate_Exec_On_Path ("gnatls")) so the condition is visible instead of a silent, scattered coverage gap; run_cli_robustness.sh's check tolerates either outcome, since it should pass regardless of whether the invoking environment happens to have a toolchain on PATH. Partial mitigation added: since "alr exec -- which gnatls" resolved a cached toolchain that bare PATH did not, most of the remaining exposure was invocations of an alr-built binary run directly instead of through "alr exec", not a genuinely toolchain-less machine. Adalang_Analyzer_CLI.Locate_Alire_Gnatls_Dir now reads Alire's own global settings.toml for the selected gnat toolchain and, when found, self-augments PATH with that toolchain's bin/ directory before the gnatls check runs, so this common case no longer needs "alr exec" wrapping at all (confirmed: the warning no longer fires and external_subtype_signature_match_robustness.adb resolves cleanly under a stripped PATH with only HOME set). This does not close the issue: a machine with no Alire-managed toolchain anywhere (e.g. a bare binary copied to a box that never ran "alr build" locally) still hits the underlying Libadalang defect exactly as described above. The Alire PATH-fallback behavior above (both directions: fallback succeeds from a real $HOME's settings.toml, and the warning still fires with no Alire settings present at all) had only ever been confirmed by hand; this is now automated in tests/run_alire_gnatls_fallback.sh, added to tests/run_all.sh, so a future change to Locate_Alire_Gnatls_Dir cannot silently regress either direction (verified the negative direction of the new test actually fails when the fallback call is disabled, then confirmed the fix restores it). The underlying upstream Libadalang defect itself remains unreported to AdaCore/libadalang as of this writing, despite a fully isolated, deterministic, minimal repro being available in the fixture referenced above.
FP-030	false-positive	closed	Uninitialized_Read flagged a variable as read before assignment whenever Libadalang's resolution failed elsewhere in the subprogram, since write-detection had no fallback — fixed by reusing the existing spelling-based read fallback for writes too; no fixture named.
FP-031	false-positive	closed	--verify's initialization check could keep a stale Definite_Error recorded from an intermediate, non-converged CFG state instead of the fixed point's final Unproved result — fixed by adding a Final replay pass after convergence; regression: tests/verification_loop_stale_initialization.adb.
FP-032	false-positive	closed	The FP-031 staleness bug also affected pragma Assert/Loop_Invariant assertion-check recording — fixed with the same Final-replay pattern; regression: tests/verification_loop_stale_assert.adb.
FP-033	false-positive	closed	The same staleness bug affected Precondition_Check, recorded under two separate stable IDs per call — fixed by replaying both IDs on the Final pass; regression: tests/verification_loop_stale_precondition.adb.
FP-034	false-positive	closed	The same staleness bug affected Range_Check, letting a stale pre-loop value falsely prove a range check safe — fixed with the same Final-replay pattern; regression: tests/verification_loop_stale_range.adb.
FP-035	false-positive	closed	The same staleness bug affected Index_Check — fixed with the same Final-replay pattern; regression: tests/verification_loop_stale_index.adb.
FP-036	false-positive	closed	The same staleness bug affected Division_By_Zero_Check — fixed with the same Final-replay pattern; regression: tests/verification_loop_stale_division.adb.
FP-037	false-positive	closed	The same staleness bug affected Integer_Overflow_Check — fixed with the same Final-replay pattern; regression: tests/verification_loop_stale_overflow.adb.
FP-038	false-positive	closed	Report_Violation_At had no deduplication, so a violation revisited during CFG convergence (or a chained and/or operator sharing one location) was reported repeatedly — fixed by adding a matching-tuple dedup check; regression: tests/verification_loop_stale_range_check.adb.
FP-039	false-positive	closed	--verify's initialization check misread a nested subprogram's Global aspect naming a variable as an executable read, reporting Definite_Error ahead of the real later assignment — fixed by skipping Aspect_Spec nodes during finalization; regression: tests/verification_global_aspect_reference_clean.adb.
FP-040	false-negative	closed	A Property_Error from certain Libadalang calls during proof-obligation finalization aborted the whole file instead of just that obligation — fixed by wrapping the per-node dispatch so only the affected node's obligations are skipped; regression: tests/verification_cross_project/.
FP-041	false-positive	closed	Non_Short_Circuit_Condition suggested "and then"/"or else" for non-Boolean (e.g. modular/bitwise) "and"/"or" operands, which isn't legal Ada — fixed by gating the suggestion on the operand resolving to Standard.Boolean; regression: tests/non_short_circuit_modular_clean.adb.
FP-042	false-positive	closed	Circular_Package_Dependency treated a "limited with" edge the same as an ordinary with, flagging Ada's sanctioned mutual-type idiom as a cycle — fixed by building edges only from non-limited with clauses; regression: tests/circular_dependency_limited_with_a.ads/_b.ads.
FP-043	false-positive	closed	--verify's initialization check treated a pragma Unreferenced argument as a genuine read, the same gap FP-028 fixed elsewhere — fixed by adding the same pragma-argument guard to the bounded verifier's own walk; regression: tests/verification_initialization_pragma_unreferenced_clean.adb.
FP-044	false-positive	closed	Uninitialized_Output's overload-forwarding fallback could still land on the wrong same-named overload or miss a lexically-later sibling overload — fixed by rejecting candidates with too few formals and no longer filtering out later-declared overloads; regression: uninitialized_output_overload_defaulted_trailing_clean/guard.adb.
FP-045	false-positive	closed	Reversed_Range flagged Ada's common empty-range idiom "Low .. Low - 1" (e.g. "1 .. 0") as a swapped-bounds typo — fixed by excluding ranges exactly one short of empty; regression: tests/precision_reversed_range_empty_idiom_clean.adb.
FP-046	false-positive	closed	--verify's own (separate) initialization-check code path still misreported the FP-011 own-name-qualification write ("Subp_Name.Param := ...") as unwritten — fixed by adding the matching suffix-climbing case to the bounded verifier; regression: tests/verification_own_name_qualifier.adb.
FP-047	false-negative	closed	--verify's SMT bridge never translated "/", "mod", or "rem" to SMT-LIB, leaving dependent proofs unattempted — fixed by adding Euclidean div/mod/rem translation guarded on a provably-nonzero divisor; regression: tests/verification_vc_division.adb.
FP-048	false-negative	closed	The SMT bridge had no translation for function calls, type conversions, or quantified expressions, leaving many proofs unattempted — fixed by adding conservative inlining of expression-function calls plus conversions and range-quantified expressions; regression: tests/verification_vc_call_inlined.adb.
FP-049	false-positive	closed	The overflow check resolved a derived type's base range via one P_Base_Type hop, using a narrower parent constraint instead of the true machine base range — fixed by walking to P_Root_Type instead; regression: tests/verification_vc_derived_overflow_base.adb.
FP-050	false-negative	closed	The loop-variant-progress check required its Loop_Invariant to textually precede the Loop_Variant pragma, missing the equally legal reverse order — fixed by reusing the existing order-tolerant leading-pragma check; regression: tests/verification_vc_variant_leading_invariant_order.adb.
FP-051	false-positive	closed	Reraise_Discards_Occurrence flagged an enrich-and-reraise ("raise Foo with "<msg>";") the same as a bare re-raise that discards the exception — fixed by exempting raises with a non-null error message; regression: tests/precision_reraise_discards_occurrence_enriched_message_clean.adb.
FP-052	false-positive	closed	Duplicate_Subprogram's message cited only the matched location's bare filename, making two identically-named files in different directories look like self-duplicates — fixed by reporting the full filename; regression: tests/duplicate_subprogram_cross_file (variant_a/variant_b).
FP-053	false-negative	closed	Exception_Propagation's boundary walk stopped only at subprogram bodies, so a task body nested in an outer guarded block wrongly inherited that outer handler as its boundary — fixed by also stopping at task bodies; regression: tests/precision_exception_propagation_task_guard.adb.
FP-054	false-negative	closed	Address_Clause matched only the "for X'Address use ...;" attribute-clause form, missing the equivalent "with ..., Address => ...;" aspect form — fixed by also matching Address aspect associations; regression: tests/precision_address_clause_aspect_finding.adb.
FP-055	false-negative	closed	Address_Clause also missed the obsolescent "for X use at ADDR;" representation clause — fixed by adding an Ada_At_Clause case; regression: tests/precision_address_clause_at_finding.adb.
FP-056	false-positive	closed	Null_Case_Alternative flagged deliberate no-op case alternatives, including "when others => null;" and named-choice fallthrough idioms — fixed by exempting others-alternatives and suppressing the remaining cases inline; regression: tests/precision_null_case_alternative_others_clean.adb.
FP-057	false-positive	closed	Empty_Elsif_Body flagged the same deliberate no-op idiom found for Null_Case_Alternative (FP-056), spelled with elsif — fixed with an inline suppression comment, since elsif has no others-equivalent to exempt; no dedicated fixture.
FP-058	false-positive	closed	A --baseline fingerprint instability made an unchanged Duplicate_Subprogram finding look new whenever unrelated code shifted the earlier occurrence's line number embedded in the hashed message — fixed by moving that location into the unhashed evidence field; regression: tests/run_clone_detection.sh.
FP-059	false-positive	closed	Empty_Else_Body and four sibling empty-body checks sharing one helper treated a solitary "pragma Assert (False);" as non-substantive filler, the same as a null statement — fixed by special-casing pragma Assert as substantive; regression: precision_empty_*_pragma_assert_clean.adb fixtures.
FP-060	false-positive	closed	Unclosed_File_Handle pessimistically assumed a missing else branch left a file open, misfiring on the standard idempotent-close (Is_Open) guard and a symmetric boolean-guarded open/close pair — fixed by recognizing both guard idioms structurally; regression: tests/precision_unclosed_file_handle_clean.adb.
FP-061	false-positive	closed	--verify's loop-variant-progress check reported Definite_Error on a correct 'Succ-based loop counter, because missing 'Succ/'Pred translation collapsed before/after terms into a tautology — fixed by adding 'Succ/'Pred SMT translation and an equal-terms guard; regression: tests/verification_loop_variant_succ.adb.
FP-062	false-negative	closed	Unclosed_File_Handle's Ada.Direct_IO/Ada.Sequential_IO coverage could not recognize Open/Create/Close/Is_Open calls when the generic package was instantiated via a bare name reached only through a "use Ada.Direct_IO;"/"use Ada.Sequential_IO;" clause on the generic unit itself (e.g. "package My_IO is new Direct_IO (Integer);" instead of "... is new Ada.Direct_IO (Integer);") — root cause turned out to be two independent Libadalang Property_Errors for this bare-name shape, not one: Call.F_Name.P_Referenced_Decl already fails to resolve the call itself (e.g. "My_IO.Create"), and even resolving just the instantiation object's own name ("My_IO") and calling P_Designated_Generic_Decl on it (which does succeed) still raises "dereferencing a null access" when asked for its own P_Defining_Name. Fixed by resolving the call's dotted prefix instead of the whole name when P_Referenced_Decl fails (Resolve_Instantiation_Member), and by falling back to the generic name's own syntactic spelling at the instantiation site (F_Generic_Pkg_Name, accepting either "Ada.Direct_IO" or bare "Direct_IO") when even that semantic path raises (Instantiation_Written_Generic_Name) — no confirmation is possible against an unrelated identically-named generic in this fallback path, an accepted, narrow precision tradeoff given the alternative is missing the check entirely. Regression: precision_unclosed_direct_io_bare_name_finding.adb/_clean.adb.
FP-063	false-positive	closed	Unclosed_File_Handle's loop-body fixed-point analysis conservatively treated every while/for loop as possibly running zero iterations, since it attempted no static proof that the loop's range was non-empty -- a File_Type opened before such a loop and closed unconditionally on every iteration it does run fired even when the loop's bounds were in fact statically provably non-empty (e.g. "for I in 1 .. 10 loop"). Fixed by reusing Flow_Eval.Choice_Interval (the same static-bounds proof Spark_Readiness's own Uninitialized_Output for-loop coverage check already uses for the identical purpose) to recognize a numeric for-loop whose "Low .. High" range is statically known to satisfy Low <= High, and treating it the same as a bare, unconditional loop (guaranteed at least one iteration, so no zero-iteration case to merge in). Deliberately still limited to statically-evaluable literal bounds, matching Choice_Interval's own established scope elsewhere in this codebase: a range bounded by a variable or an untracked subtype's own declared lower bound (e.g. "for I in 1 .. N loop" with N : Positive) is not proven non-empty and still conservatively fires, covered by the still-relevant tests/precision_unclosed_file_handle_loop_zero_iteration_boundary_finding.adb. Regression for the fixed literal-bounds case: tests/precision_unclosed_file_handle_loop_static_nonempty_clean.adb.
FP-064	false-positive	closed	--verify proved an array index safe when the indexed prefix was a slice (Items (1 .. Last) (1)): Check_Conversion_Or_Index took the array *type*'s declared index subtype (via Call.F_Name.P_Expression_Type) as the index bounds, so index 1 was proved inside Positive even though the slice bounds 1 .. Last are empty when Last = 0 -- a possible unsoundness. Fixed by detecting a slice prefix (Indexed_Prefix_Is_Slice) in both the live and finalize index-check paths and recording the obligation conservatively as unproved, since the scalar domain does not model slice bounds. Found on AdaCore SPARK testsuite unit OB26-006__ctex_array_ret_func via benchmarks/spark_testsuite/; regression: tests/verification_slice_index_conservative.adb.
FP-065	false-positive	closed	--verify reported "pragma Assert (False);" (and other statically-false assertions) as a Known_Assertion_Failure *definite* error even when the pragma sits on a control path the analysis cannot establish is taken -- e.g. inside "if <guard the scalar domain cannot evaluate> then ...", where an earlier statement on the only path in may itself always raise (found on AdaCore SPARK testsuite unit W316-007__string_multidim: GNAT raises Constraint_Error at the enclosing "if" line, so the assert is unreachable). Finalize_Assertion_Check's existing reachability guard only covers CFG-proved-unreachable nodes, not guard-gated ones. Fixed with Assertion_Point_Reachable in flow_interp.adb: walking outward from the condition to the enclosing body, a statically-false assertion keeps its definite-error verdict only when every enclosing if-branch guard is provably taken in the current State; an if-branch with an unevaluated guard, or any elsif/else/case/loop nesting, downgrades it to unproved ("would fail if reached, but reachability not established"). Straight-line asserts are unaffected. Regression: tests/verification_assert_false_guarded.adb (plus tests/proof_assertion_findings.adb / tests/verification_vc_error.adb for the still-fires side). W316-007__string_multidim stays out of benchmarks/spark_testsuite/MANIFEST.tsv for a separate reason: its GNATprove baseline proves line-13 range checks GNAT rejects at runtime, so it is not a sound oracle unit regardless of this fix.
FP-066	false-positive	closed	Null_Statement flagged every "null;" statement unconditionally, including the sole-statement idiom Ada requires for a deliberate no-op (an empty exception handler, a no-op case alternative, an empty if/loop body) and a labeled null used as a goto target -- both cases GNATcheck's own Redundant_Null_Statements rule explicitly exempts. Found via the GNATcheck oracle-comparison triage (benchmarks/README.md): Null_Statement/Redundant_Null_Statements showed a 0% exact-line match rate on 6 of 7 corpora despite being a "Direct" pair, and every sampled AdaLang-only finding on the AWS corpus was "exception when X => null;" or a single-choice "when K => null;" case branch -- exactly the idiom other AdaLang checks (Empty_Exception_Handler, Null_Case_Alternative, Empty_Then_Body, ...) already judge on their own, more specific terms. Fixed by exempting a null statement that is the sole statement in its enclosing sequence (no previous or next sibling, or a run of consecutive nulls) or immediately preceded by a label, mirroring GNATcheck's own previous_sibling/next_sibling condition exactly; a null sitting alongside other, real statements is still flagged as genuine redundant padding. Regression: tests/precision_null_statement_sole_statement_clean.adb, tests/precision_null_statement_exception_handler_clean.adb, tests/precision_null_statement_labeled_clean.adb (precision_null_statement_finding.adb updated to the still-firing padding shape).
FP-067	false-positive	closed	Overwritten_Assignment scanned forward through the statement list for a later write to the same target without stopping at transfers of control, so it reported the earlier assignment as "overwritten before it is read" when the later write sat after an unconditional return/raise/exit/goto (unreachable, so it never overwrites anything) or after a nested early exit such as "if Text = "" then return False; end if;" through which an out parameter's earlier value reaches the caller. Found while probing GNAT compiler-warning pairings for the GNATcheck oracle comparison; the analyzer's own numeric_literals.adb carried two inline suppressions ("failure-path out value") for exactly this shape, now removed. Fixed with May_Leave_Statement_List in checks-control_flow.adb: the scan stops at any statement that may leave the list (raise, goto, requeue, a loop exit other than an unnamed exit of a loop nested in that statement, or a return when the target is not an object local to the subprogram, since a local dies on return). Regression: tests/precision_overwritten_assignment_unreachable_clean.adb, tests/precision_overwritten_assignment_early_return_clean.adb, tests/precision_overwritten_assignment_local_early_return_finding.adb (the still-firing local shape).
FP-068	false-positive	closed	Unreachable_Code was reported even when disabled, whenever Overwritten_Assignment or Repeated_Statement was enabled: Analyze_Statement_List runs if any of the three is enabled, and its Unreachable_Code report lacked the Rule_States guard every other call site carries (Report_Rule_Violation itself does not filter). A user selecting -checks=Overwritten_Assignment therefore also received Unreachable_Code findings. Found while adding the FP-067 regression fixture; an audit running each of the 127 checks alone over all tests/*.adb fixtures found no other leaking rule. Fixed by guarding the report with Rule_States (Unreachable_Code) = Enabled. Regression: tests/precision_overwritten_assignment_unreachable_clean.adb, which the precision harness analyzes with only Overwritten_Assignment enabled and which contains an unreachable statement.
FP-069	false-positive	closed	Unused_With_Clause credited a with clause only when some identifier resolved into the with'd unit's own source file (or, unresolved, spelled the unit's simple name), so it flagged used with clauses in three shapes. (1) A package renaming such as GNAT.OS_Lib (renames System.OS_Lib) or GNAT.Strings / GNAT.Case_Util: use-visible entities resolve into the renamed unit's file. (2) A library-level generic instance such as Ada.Integer_Text_IO: entities resolve into the generic's file. (3) Libadalang resolution failures inside the unit: on gnatcoll-core, internal property errors ("dereferencing a null access", "lazy field memoization") leave use-visible names such as Trace_Handle/Create/Trace (from "use GNATCOLL.Traces;") unresolved, and one imprecise resolution sends "System.Address" in GNATCOLL.Mmap's spec to the child unit GNATCOLL.Mmap.System that Ada visibility would not select. Found via the GNATcheck oracle comparison's compiler-warning lane (GNATcheck's Warnings rule, -gnatwu): 22 AdaLang Unused_With_Clause findings on gnatcoll-core against one GNAT warning. Fixed in checks-declarations.adb: Effective_Package follows a renaming to the finally renamed package and an instance to its generic, and that unit's file also counts; Unresolved_Use_Visible_Reference counts an unresolved identifier spelling a name declared in the with'd package when a use clause names it; a dotted-name prefix spelled like the with'd unit counts whatever it resolves to. gnatcoll-core goes from 22 findings to 2 (gnatcoll-strings.ads's Ada.Characters.Handling, genuinely unreferenced; gnatcoll-file_paths.ads's GNATCOLL.Strings, a residual where Libadalang fails both to resolve XString and to designate the instance's generic). Regression: tests/precision_unused_with_clause_renaming_clean.adb, tests/precision_unused_with_clause_instance_clean.adb, tests/precision_unused_with_clause_renaming_finding.adb (still fires).
FP-070	false-positive	closed	Dead_Store (and every other check using Data_Flow.Assigned_Declaration) treated an indexed or sliced assignment through an access-typed local, such as "S (1) := To_Upper (S (1));" with S : Char_Array (access all Unconstrained_Char_Array), as a write to the local S itself. It is an implicit dereference that writes the designated object, so the store is observable after the subprogram returns. Found on gnatcoll-core's gnatcoll-strings_impl.adb (Capitalize, Replace, Center, ...: 10 findings, each the very write that implements the procedure) while triaging the GNATcheck oracle comparison's compiler-warning lane, where GNAT's -gnatwm raised nothing there. Fixed in Assigned_Declaration: an indexed/sliced target whose prefix has an access type, or whose type cannot be resolved, is not attributed to the prefix's declaration. Regression: tests/precision_dead_store_access_dereference_clean.adb, tests/precision_dead_store_local_array_finding.adb (the still-firing local-array shape).
FP-071	false-positive	closed	Dead_Store and Overwritten_Assignment searched only the enclosing subprogram's statements for a read after the assignment, so a local read by a nested subprogram body (an up-level reference, textually before the assignment in the declarative part) was invisible: "Absolute_Src := ...; Clean_Dst;" in gnatcoll-core's gnatcoll-os-fsutil.adb, where the nested Clean_Dst reads Absolute_Src, was reported as a dead store. Found in the same gnatcoll-core triage as FP-070. Fixed with Read_By_Nested_Body in checks-control_flow.adb: a local read by any body declared in the enclosing subprogram's declarative part is exempt from both checks, since that body may run from any later call. The walk over nested bodies exposed a latent Matches_Declaration flaw: the identifier inside a declaration's own defining name resolves to null and fell through to the spelling fallback, so a nested "X : Integer := 0;" counted as a read of a shadowed outer X; defining names are now never reads (tests/advanced_findings.adb's shadowing case guards this). Regression: tests/precision_dead_store_nested_body_clean.adb, tests/precision_overwritten_assignment_nested_body_clean.adb.
FP-072	false-positive	closed	Dead_Store reported the out actual of a call whose callee applies pragma Inspection_Point -- RM H.3.2's way to make a value observable, used to wipe secret material so the wipe cannot be optimized away -- as "output value assigned by call is never read later". Found via the GNATcheck oracle comparison's compiler-warning lane on SPARKNaCl, where GNAT's -gnatwm raised nothing and 30 of AdaLang's 42 Dead_Store findings were "Sanitize (Key);" calls (each Sanitize body zeroes its out formal and then applies pragma Inspection_Point to it). Following the advice would delete the key-wiping code. Fixed with Callee_Has_Inspection_Point in checks-control_flow.adb (following an "is separate" stub to its subunit); the call-based path also gained FP-071's nested-body-read exemption. Regression: tests/precision_dead_store_inspection_point_clean.adb, tests/precision_dead_store_output_call_finding.adb (still fires without the pragma).
FP-073	false-positive	closed	Dead_Store and Overwritten_Assignment treated any later indexed read whose text differed from the written component as a read of a different component, so "Key (0 .. 31) := Hash (K);" followed by a loop reading "Key (I)" (SPARKNaCl's HMAC_SHA_256, found in the same triage as FP-072) was reported as a dead store. Only static, provably different indices (integer, character, or enumeration literals) now count as a different component; a variable index or a slice may overlap the written one and counts as a possible read. tests/data_flow_precision_findings.adb's dynamic-index section moved to its own array, since its later Arr (Index) reads now correctly count as possibly reading Arr (2). Regression: tests/precision_dead_store_variable_index_clean.adb.
